Array size,Heap Sort Time[ms],Quick Sort Time[ms]
20000,7.634,3.517
40000,15.787,7.33
60000,20.312,9.702
80000,27.063,12.971
100000,34.569,16.085
120000,44.281,20.065
140000,49.154,22.934
160000,56.916,26.398
180000,67.32,30.156
200000,73.044,35.662
220000,83.234,37.876
240000,90.552,42.121
260000,100.008,44.112
280000,104.614,50.107
300000,113.525,51.907
320000,134.807,73.899
340000,170.351,82.543
360000,176.89,83.804
380000,195.153,86.474
400000,198.512,89.078
420000,186.859,76.255
440000,175.692,80.336
460000,181.837,86.774
480000,193.516,88.03
500000,205.08,90.181
520000,210.436,93.818
540000,219.678,103.865
560000,228.532,102.047
580000,237.946,108.707
600000,249.112,110.618
620000,254.588,119.271
640000,266.728,121.631
660000,272.27,122.608
680000,280.67,135.111
700000,294.08,134.164
720000,299.158,137.358
740000,312.085,138.842
760000,318.858,169.617
780000,332.075,146.973
800000,336.938,151.47
820000,352.291,154.068
840000,354.23,163.657
860000,367.031,160.393
880000,372.82,166.118
900000,384.808,171.986
920000,394.142,182.413
940000,403.347,176.876
960000,414.42,186.481
980000,420.546,187.144
1000000,429.25,197.646
